"id","data","coordinates"
1,"{""name"": ""50 \u043b\u0435\u0442 \u041d\u041b\u041c\u041a - LCITY (\u041c\u0435\u0442\u0430\u043b\u043b\u0443\u0440\u0433\u0438\u0447\u0435\u0441\u043a\u0438\u0439 \u043a\u043e\u043b\u043b\u0435\u0434\u0436)""}","[39.592725, 52.592515]"
2,"{""name"": ""60 \u043b\u0435\u0442 \u0421\u0421\u0421\u0420 - 21 \u043c\u0438\u043a\u0440\u043e\u0440\u0430\u0439\u043e\u043d""}","[39.5383, 52.5842]"
3,"{""name"": ""60 \u043b\u0435\u0442 \u0421\u0421\u0421\u0420 - \u041f\u0430\u0440\u043a \u041f\u043e\u0431\u0435\u0434\u044b""}","[39.522059, 52.592719]"
4,"{""name"": ""60 \u043b\u0435\u0442 \u0421\u0421\u0421\u0420 - \u0421\u0442\u0430\u0445\u0430\u043d\u043e\u0432\u0430 (\u0421\u0442\u0430\u0445\u0430\u043d\u043e\u0432\u0430 - 60 \u043b\u0435\u0442 \u0421\u0421\u0421\u0420)""}","[39.526668, 52.590194]"
5,"{""name"": ""8 \u041c\u0430\u0440\u0442\u0430 - \u0422\u0435\u0440\u0435\u0448\u043a\u043e\u0432\u043e\u0439 (\u0422\u0435\u0440\u0435\u0448\u043a\u043e\u0432\u043e\u0439 - 8 \u041c\u0430\u0440\u0442\u0430)""}","[39.573627, 52.606222]"
6,"{""name"": ""9 \u041c\u0430\u044f - \u0414\u0435\u043f\u043e (\u043e\u0441\u0442\u0430\u043d\u043e\u0432\u043a\u0430 \u0422\u0440\u0435\u0441\u0442 \u041b\u0438\u043f\u0435\u0446\u043a\u0441\u0442\u0440\u043e\u0439)""}","[39.6154, 52.5715]"
7,"{""name"": ""9 \u041c\u0430\u044f - \u041c. \u0420\u0430\u0441\u043a\u043e\u0432\u043e\u0439""}","[39.617508, 52.573549]"
8,"{""name"": ""9 \u041c\u0430\u044f - \u0422\u0423 \u2116 27 (\u0421\u0442\u0430\u0440\u044b\u0435 \u043f\u0440\u043e\u0445\u043e\u0434\u043d\u044b\u0435 \u041d\u041b\u041c\u041a)""}","[39.610067, 52.567111]"
9,"{""name"": ""\u0410\u043d\u0433\u0430\u0440\u0441\u043a\u0430\u044f - \u0430\u0432\u0442\u043e\u0434\u043e\u0440\u043e\u0433\u0430 \u041e\u0431\u0445\u043e\u0434 \u0433. \u041b\u0438\u043f\u0435\u0446\u043a (\u041c\u0430\u0433\u0430\u0437\u0438\u043d \u0410\u0440\u0448\u0438\u043d)""}","[39.4583, 52.5915]"
10,"{""name"": ""\u0411\u0430\u0443\u043c\u0430\u043d\u0430 \u0434.179""}","[39.6846, 52.6422]"
11,"{""name"": ""\u0411\u0430\u0443\u043c\u0430\u043d\u0430 - 41 \u0448\u043a\u043e\u043b\u0430""}","[39.676094, 52.639283]"
12,"{""name"": ""\u0411\u0430\u0443\u043c\u0430\u043d\u0430 - \u0410\u0432\u0442\u043e\u0431\u0430\u0437\u0430""}","[39.6939, 52.653]"
13,"{""name"": ""\u0411\u0430\u0443\u043c\u0430\u043d\u0430 - \u041e\u041e\u0422 \u0421\u041d\u0422 \u0420\u0435\u0447\u043d\u043e\u0435 ""}","[39.6958, 52.6559]"
14,"{""name"": ""\u0412\u0435\u0440\u043c\u0438\u0448\u0435\u0432\u0430 - \u042f. \u0411\u0435\u0440\u0437\u0438\u043d\u0430 (\u043f\u043b.\u041a\u043e\u0441\u043c\u043e\u043d\u0430\u0432\u0442\u043e\u0432, \u043e\u0441\u0442\u0430\u043d\u043e\u0432\u043a\u0430 \u0412\u0435\u0440\u043c\u0438\u0448\u0435\u0432\u0430)""}","[39.5386, 52.6035]"
15,"{""name"": ""\u0412\u043e\u0434\u043e\u043f\u044c\u044f\u043d\u043e\u0432\u0430 - 15 \u043c\u0438\u043a\u0440-\u043d""}","[39.5429, 52.5935]"
16,"{""name"": ""\u0412\u043e\u0434\u043e\u043f\u044c\u044f\u043d\u043e\u0432\u0430 - 23 \u043c\u0438\u043a\u0440-\u043d""}","[39.5377, 52.596]"
